"","UserID","AGE","FOAvgStake","LAAvgStake","FOAvgTotalWinnings","LAAvgTotalWinnings","FOTotalActiveDays","LATotalActiveDays","Gender","Recency_bet_sportsFO","Recency_bet_sportsLA","Continent"
"33962",1389561,39,15,0,0,0,0,0,"Male",219,0,"Europe"
"33963",1389563,45,10.07143,9.785714,4.142857,9.025974,34,33,"Male",178,179,"Europe"
"33964",1389565,22,0.788106,1.294052,1.04808,1.343515,213,211,"Male",1,2,"Europe"
"33965",1389566,18,39.30648,25.74638,40.4548,43.01888,187,4,"Male",32,212,"Europe"
"33966",1389567,19,1.859687,0.9333333,1.463542,0.91,205,76,"Male",6,135,"Europe"
"33967",1389571,20,1.030952,0.8333333,0.1738095,0,197,72,"Male",17,57,"Europe"
"33968",1389575,27,2.809524,1.9,1.085714,17.43,213,166,"Male",6,2,"Europe"
"33969",1389579,31,15,0,0,0,0,0,"Male",219,0,"Europe"
"33970",1389580,38,2.564444,1.464634,1.093111,0.6419512,162,157,"Male",52,52,"Europe"
"33971",1389581,29,2.638784,17,2.788784,0,192,0,"Male",7,189,"Europe"
"33972",1389582,24,1.1925,1.257403,0.6113889,1.142078,193,36,"Male",6,163,"Europe"
"33973",1389584,19,0.8942347,1.666667,0.6244388,1.18,65,15,"Male",146,190,"Europe"
"33974",1389585,34,3.433182,3.446662,2.555182,3.634342,218,206,"Male",1,1,"Europe"
"33975",1389586,35,2.111538,3,0,0,130,0,"Male",89,144,"Europe"
"33976",1389587,23,14.66667,0,0,0,0,0,"Male",219,0,"Europe"
"33977",1389593,25,2.267853,2.945215,1.81232,2.456677,36,35,"Male",176,175,"Asia"
"33978",1389600,36,16.66667,0,0,0,5,0,"Male",156,0,"Europe"
"33979",1389602,22,2.128131,3.538333,1.801515,0.9116667,190,170,"Female",29,48,"Europe"
"33980",1389603,28,2.337647,1.5,1.611765,2.18,208,0,"Male",7,213,"Europe"
"33981",1389604,20,0.5801667,0.5,0.0885,0,69,0,"Male",128,196,"Europe"
