"","UserID","Gender","Poker_Sell","Poker_Buy","Profit_Poker","Recency_Poker","Continent"
"1475",1378958,"Male",1907.06,1250.45,656.61,79,"Europe"
"1476",1378989,"Female",111.65,117.87,-6.22,209,"Europe"
"1477",1379016,"Male",10,7.3,2.7,163,"Europe"
"1478",1379022,"Male",1111.66,620.12,491.54,0,"Europe"
"1479",1379035,"Male",1647.3,1629.7,17.5999999999999,6,"Europe"
"1480",1379122,"Male",67.85,0.09,67.76,146,"Asia"
"1481",1379158,"Female",40097.46,35280.15,4817.31,1,"Europe"
"1482",1379209,"Male",6.1,6.1,0,55,"Europe"
"1483",1379311,"Male",10,10,0,179,"Europe"
"1484",1379469,"Male",418.6,238.62,179.98,19,"Europe"
"1485",1379530,"Male",816.23,791.87,24.36,0,"Europe"
"1486",1379552,"Male",1253.95,855.8,398.15,7,"Europe"
"1487",1379600,"Male",5948.35,5933.81,14.54,151,"Europe"
"1488",1379602,"Male",825,693.11,131.89,109,"Europe"
"1489",1379679,"Male",286.13,138.98,147.15,108,"Europe"
"1490",1379696,"Male",38,50,-12,212,"Europe"
"1491",1379703,"Male",2974.53,1850.86,1123.67,0,"Europe"
"1492",1379855,"Male",42,32.3,9.7,165,"Europe"
"1493",1379924,"Male",173.39,145.65,27.74,168,"Europe"
"1494",1379968,"Male",20607.83,14073.8,6534.03,5,"Europe"
"1495",1379969,"Male",843.25,702.97,140.28,39,"Europe"
"1496",1379983,"Male",103.4,3.17,100.23,3,"Europe"
"1497",1380014,"Male",785.39,843.3,-57.91,42,"Europe"
"1498",1380042,"Female",424.2,454.81,-30.61,214,"Asia"
"1499",1380102,"Male",3371.92,2873.88,498.04,11,"Europe"
"1500",1380105,"Male",80.59,41.67,38.92,138,"Europe"
"1501",1380180,"Male",30,30,0,221,"Europe"
"1502",1380190,"Male",244.45,86.87,157.58,152,"Europe"
"1503",1380253,"Male",1326.8,920.16,406.64,0,"Europe"
"1504",1380305,"Male",2339.91,2136.47,203.44,0,"Europe"
"1505",1380359,"Male",124.16,83.94,40.22,17,"Europe"
"1506",1380386,"Male",136.43,31.54,104.89,14,"Europe"
"1507",1380421,"Male",1345.86,998.88,346.98,0,"Europe"
"1508",1380492,"Male",50,49.22,0.780000000000001,133,"Europe"
"1509",1380595,"Male",67.04,86.81,-19.77,16,"Europe"
"1510",1380599,"Male",709.05,512.34,196.71,3,"Europe"
"1511",1380606,"Male",210.1,133.7,76.4,181,"Europe"
"1512",1380750,"Male",37,27.87,9.13,176,"Europe"
"1513",1380760,"Male",20,22.88,-2.88,20,"Europe"
"1514",1380763,"Male",10,10.12,-0.119999999999999,32,"Europe"
"1515",1380774,"Male",152.53,131.96,20.57,0,"Europe"
"1516",1380793,"Male",4327.64,4183.54,144.1,0,"Europe"
"1517",1380818,"Male",824.78,785.49,39.29,18,"Europe"
"1518",1380958,"Male",5,0,0,0,"Europe"
"1519",1380961,"Female",15490.36,11633.34,3857.02,107,"Europe"
"1520",1380963,"Male",38.56,20.44,18.12,0,"Europe"
"1521",1381008,"Male",574.25,518.43,55.8200000000001,1,"Europe"
"1522",1381023,"Male",15990.38,11679.98,4310.4,103,"Europe"
"1523",1381028,"Female",2270.89,1828.65,442.24,0,"Europe"
"1524",1381126,"Male",957.3,617.58,339.72,95,"Europe"
"1525",1381133,"Female",11.95,2.18,9.77,156,"Europe"
"1526",1381160,"Male",580.39,471.36,109.03,1,"Europe"
"1527",1381166,"Male",15.35,13.86,1.49,217,"Asia"
"1528",1381245,"Male",1584.29,1384.59,199.7,148,"Europe"
"1529",1381258,"Male",13751.48,8323.74,5427.74,0,"Europe"
"1530",1381277,"Male",5,5,0,220,"Europe"
"1531",1381313,"Male",123.69,115.9,7.78999999999999,202,"Europe"
"1532",1381323,"Male",0.44,0.44,0,141,"Europe"
"1533",1381382,"Male",9254.35,9061.66,192.690000000001,0,"Europe"
"1534",1381432,"Male",7538.13,7498.44,39.6900000000005,213,"Europe"
"1535",1381495,"Male",116.85,59.61,57.24,6,"Europe"
"1536",1381499,"Male",30,18.4,11.6,221,"Europe"
"1537",1381604,"Female",922.7,807.4,115.3,62,"Europe"
"1538",1381620,"Male",1336.39,828.4,507.99,0,"Europe"
"1539",1381625,"Male",18010.99,17338.82,672.170000000002,25,"Europe"
"1540",1381644,"Male",266.3,156.82,109.48,168,"Asia"
"1541",1381781,"Male",184.62,188.75,-4.13,16,"Europe"
"1542",1381810,"Male",5092.03,5017.07,74.96,2,"Europe"
"1543",1381910,"Male",258.58,270.05,-11.47,197,"Asia"
"1544",1381921,"Male",3508.96,3084.35,424.61,1,"Europe"
"1545",1381942,"Male",1640.04,1664.49,-24.45,162,"Europe"
"1546",1382016,"Male",289.29,269.12,20.17,183,"Asia"
"1547",1382036,"Male",378.24,139.57,238.67,0,"Europe"
"1548",1382080,"Male",10,10,0,211,"Europe"
"1549",1382168,"Male",1327.88,1032.66,295.22,150,"Europe"
"1550",1382213,"Male",313.66,281.01,32.65,0,"Europe"
"1551",1382270,"Male",258.95,59.67,199.28,33,"Europe"
"1552",1382357,"Male",409.57,171.83,237.74,31,"Europe"
"1553",1382367,"Male",13.41,9.73,3.68,22,"Europe"
"1554",1382398,"Male",117.75,504.94,-387.19,67,"Europe"
"1555",1382432,"Male",4297.16,4526.41,-229.25,0,"Europe"
"1556",1382443,"Male",1960.58,2011.89,-51.3100000000002,0,"Europe"
"1557",1382539,"Male",5427.9,5025.04,402.86,50,"Europe"
"1558",1382601,"Male",473.5,331.45,142.05,81,"Europe"
"1559",1382613,"Male",323.69,93.63,230.06,62,"Europe"
"1560",1382627,"Male",2855.55,1333.32,1522.23,45,"Europe"
"1561",1382637,"Male",26.84,0.69,26.15,171,"Europe"
"1562",1382727,"Male",2591.31,1817.86,773.45,14,"Europe"
"1563",1382736,"Male",701.36,425.31,276.05,209,"Europe"
"1564",1382754,"Male",142.45,26.64,115.81,194,"Europe"
"1565",1382775,"Male",9,4.47,4.53,28,"Europe"
"1566",1382864,"Male",333.44,273.21,60.23,4,"Europe"
"1567",1382950,"Male",1613.83,1241.03,372.8,0,"Europe"
"1568",1382993,"Male",1757.16,1454.83,302.33,1,"Europe"
"1569",1383050,"Male",20.16,0.41,19.75,186,"Europe"
"1570",1383098,"Male",250,250,0,204,"Europe"
"1571",1383136,"Male",290.9,253.77,37.13,208,"Europe"
"1572",1383267,"Female",4646.83,4205.95,440.88,7,"Europe"
"1573",1383367,"Male",196.96,54.98,141.98,0,"Europe"
"1574",1383545,"Male",422.9,326.61,96.29,47,"Europe"
"1575",1383643,"Male",3,2.23,0.77,182,"Asia"
"1576",1383806,"Male",10,2.32,7.68,221,"Europe"
"1577",1383813,"Male",865.65,792.59,73.0599999999999,9,"Europe"
"1578",1383848,"Male",13,12.44,0.56,79,"Europe"
"1579",1383915,"Male",12958.91,7391.14,5567.77,43,"Europe"
"1580",1383937,"Male",1275.94,494.82,781.12,166,"Asia"
"1581",1383991,"Male",5321.11,4116.21,1204.9,32,"Europe"
"1582",1384051,"Male",378.66,269.67,108.99,20,"Europe"
"1583",1384059,"Male",6.45,1.45,5,143,"Europe"
"1584",1384086,"Male",1360.18,790.98,569.2,0,"Europe"
"1585",1384103,"Male",38.36,19.5,18.86,215,"Europe"
"1586",1384130,"Male",29.56,29.56,0,206,"Europe"
"1587",1384148,"Male",780.63,741.11,39.52,7,"Europe"
"1588",1384191,"Male",579.35,495.17,84.18,209,"Europe"
"1589",1384237,"Male",60,60,0,220,"Europe"
"1590",1384239,"Male",1090.37,1228.69,-138.32,176,"Europe"
"1591",1384341,"Male",10,10,0,31,"Europe"
"1592",1384383,"Male",5,7.41,-2.41,1,"Europe"
"1593",1384399,"Male",3788.95,2925.34,863.61,0,"Europe"
"1594",1384437,"Male",117.49,59.85,57.64,34,"Europe"
"1595",1384450,"Male",58.34,2.2,56.14,180,"Asia"
"1596",1384459,"Male",213.38,113.89,99.49,8,"Europe"
"1597",1384519,"Male",11.83,1.92,9.91,220,"Europe"
"1598",1384535,"Male",29.5,17.86,11.64,7,"Europe"
"1599",1384583,"Male",13.42,13.42,0,70,"Europe"
"1600",1384658,"Male",893.9,796.04,97.86,83,"Europe"
"1601",1384740,"Male",1902.41,1493.86,408.55,143,"Europe"
"1602",1384861,"Male",92.26,37.3,54.96,32,"Europe"
"1603",1384881,"Male",4720.62,3888.68,831.94,0,"Europe"
"1604",1384889,"Male",12861.32,8360.96,4500.36,0,"Europe"
"1605",1384908,"Male",25,25,0,165,"Europe"
"1606",1385046,"Male",57.48,18.81,38.67,90,"Europe"
"1607",1385073,"Male",4734.07,4713.43,20.6399999999994,0,"Europe"
"1608",1385129,"Male",705.32,566.67,138.65,61,"Europe"
"1609",1385242,"Male",699.23,694.01,5.22000000000003,54,"Europe"
"1610",1385274,"Male",1.02,1.02,0,105,"Asia"
"1611",1385284,"Male",707.14,663.71,43.4299999999999,59,"Europe"
"1612",1385337,"Male",1856.38,1926.81,-70.4299999999998,90,"Europe"
"1613",1385382,"Male",630.68,124.69,505.99,15,"Europe"
"1614",1385394,"Female",773.4,606.15,167.25,134,"Europe"
"1615",1385398,"Male",2.19,2.73,-0.54,52,"Europe"
"1616",1385427,"Male",50,50,0,213,"Europe"
"1617",1385447,"Male",23.11,6.73,16.38,208,"Europe"
"1618",1385542,"Male",16.48,21.45,-4.97,67,"Europe"
"1619",1385575,"Female",753.74,758.31,-4.56999999999994,180,"Asia"
"1620",1385640,"Male",7,5.98,1.02,33,"Europe"
"1621",1385669,"Male",248.37,183.84,64.53,100,"Europe"
"1622",1385732,"Male",3076.28,3147.01,-70.73,0,"Europe"
"1623",1385741,"Male",11.55,0.07,11.48,220,"Asia"
"1624",1385765,"Male",185,65.16,119.84,194,"Europe"
"1625",1385779,"Male",13.42,8.79,4.63,155,"Europe"
"1626",1385804,"Male",342,289.05,52.95,1,"Europe"
"1627",1385916,"Male",80.58,48.65,31.93,121,"Europe"
"1628",1385950,"Male",245.27,96.12,149.15,23,"Europe"
"1629",1385985,"Male",10,10,0,182,"Europe"
"1630",1385987,"Male",100,2274.05,-2174.05,111,"Europe"
"1631",1386003,"Male",12463.28,12518.9,-55.619999999999,39,"Europe"
"1632",1386144,"Female",44.6,24.55,20.05,218,"Asia"
"1633",1386184,"Male",77.9,57.2,20.7,0,"Europe"
"1634",1386303,"Male",1221.58,923.1,298.48,16,"Europe"
"1635",1386333,"Male",882.75,747.6,135.15,12,"Europe"
"1636",1386339,"Male",159.43,78.83,80.6,211,"Europe"
"1637",1386367,"Male",1260.62,1174.42,86.1999999999998,59,"Europe"
"1638",1386392,"Male",2708.47,2096.89,611.58,0,"Europe"
"1639",1386498,"Male",1388.56,1365.65,22.9099999999999,197,"Europe"
"1640",1386533,"Male",5960.25,2955.07,3005.18,148,"Europe"
"1641",1386551,"Male",60.59,51.72,8.87,206,"Europe"
"1642",1386613,"Male",0,25.83,0,0,"Europe"
"1643",1386812,"Male",568.46,248.46,320,81,"Europe"
"1644",1386936,"Male",451.69,258.89,192.8,193,"Europe"
"1645",1386940,"Male",20.47,9.79,10.68,138,"Europe"
"1646",1386960,"Male",1487.87,1384.54,103.33,23,"Europe"
"1647",1386992,"Male",47.92,47.92,0,145,"Europe"
"1648",1386998,"Male",250.86,94.98,155.88,175,"Europe"
"1649",1387026,"Male",35.05,32.7,2.34999999999999,172,"Europe"
"1650",1387033,"Male",241,261.86,-20.86,0,"Europe"
"1651",1387058,"Male",26.84,26.84,0,181,"Europe"
"1652",1387121,"Male",2353.69,1963.99,389.7,163,"Europe"
"1653",1387156,"Male",725.77,542.88,182.89,218,"Europe"
"1654",1387266,"Male",57529.14,59871.96,-2342.82,43,"Europe"
"1655",1387293,"Male",1.34,1.34,0,28,"Europe"
"1656",1387339,"Male",82.62,64.73,17.89,0,"Europe"
"1657",1387375,"Male",685.02,567.15,117.87,30,"Europe"
"1658",1387403,"Female",0.44,0.44,0,207,"Europe"
"1659",1387503,"Male",4.04,4.04,0,10,"Europe"
"1660",1387538,"Male",1140.83,926.09,214.74,17,"Europe"
"1661",1387539,"Male",1146.88,1193.57,-46.6899999999998,1,"Europe"
"1662",1387591,"Male",277.81,177.64,100.17,215,"Europe"
"1663",1387637,"Male",13.5,10.55,2.95,55,"Europe"
"1664",1387708,"Male",5,5,0,220,"Europe"
"1665",1387709,"Female",32814.54,27010.37,5804.17,146,"Europe"
"1666",1387911,"Male",42.14,7,35.14,117,"Europe"
"1667",1388055,"Male",1,1,0,211,"Europe"
"1668",1388069,"Male",5,5,0,220,"Europe"
"1669",1388077,"Male",84.58,57.07,27.51,216,"Europe"
"1670",1388099,"Male",27.82,22.01,5.81,47,"Europe"
"1671",1388165,"Male",1589.37,992.01,597.36,81,"Europe"
"1672",1388171,"Male",13.41,0.09,13.32,30,"Europe"
"1673",1388172,"Male",224.48,204.7,19.78,0,"Europe"
"1674",1388195,"Male",4.93,0,4.93,50,"Europe"
"1675",1388213,"Male",1085.72,1159.76,-74.04,3,"Europe"
"1676",1388226,"Male",194.69,79.91,114.78,0,"Europe"
"1677",1388228,"Male",2,2,0,217,"Europe"
"1678",1388256,"Male",1682.42,1778.39,-95.97,0,"Europe"
"1679",1388306,"Male",10,0.01,9.99,108,"Europe"
"1680",1388330,"Male",25795.3,33641.69,-7846.39,67,"Europe"
